lan_thu,phuong_phap,thoi_gian_giay,ket_qua,ghi_chu
1,commission vao slot trong + remove-fabric (khong erase-flash),4.414994133,Thanh cong,FabricIndex=6 CommissionedFabrics=5
2,commission vao slot trong + remove-fabric (khong erase-flash),4.514249799,Thanh cong,FabricIndex=7 CommissionedFabrics=5
3,commission vao slot trong + remove-fabric (khong erase-flash),4.514690203,Thanh cong,FabricIndex=8 CommissionedFabrics=5
4,commission vao slot trong + remove-fabric (khong erase-flash),4.615085603,Thanh cong,FabricIndex=9 CommissionedFabrics=5
5,commission vao slot trong + remove-fabric (khong erase-flash),4.514338672,Thanh cong,FabricIndex=10 CommissionedFabrics=5
6,commission vao slot trong + remove-fabric (khong erase-flash),4.514412543,Thanh cong,FabricIndex=11 CommissionedFabrics=5
7,commission vao slot trong + remove-fabric (khong erase-flash),4.669052509,Thanh cong,FabricIndex=12 CommissionedFabrics=
8,commission vao slot trong + remove-fabric (khong erase-flash),4.513506023,Thanh cong,FabricIndex=13 CommissionedFabrics=5
9,commission vao slot trong + remove-fabric (khong erase-flash),3.815926242,Thanh cong,FabricIndex=14 CommissionedFabrics=5
10,commission vao slot trong + remove-fabric (khong erase-flash),4.514689449,Thanh cong,FabricIndex=15 CommissionedFabrics=5
