stt,loai_su_kien,epoch_board,epoch_ha_da_hieu_chinh,do_tre_ms
1,InitialPress,1787020186.828,1787020186.853,24.7
2,ShortRelease,1787020187.007,1787020187.034,26.8
3,InitialPress,1787020192.888,1787020192.918,30.4
4,ShortRelease,1787020193.088,1787020193.116,27.7
5,InitialPress,1787020200.828,1787020200.854,25.9
6,ShortRelease,1787020200.988,1787020201.014,25.9
7,InitialPress,1787020205.968,1787020205.993,25.1
8,ShortRelease,1787020206.108,1787020206.134,25.7
9,InitialPress,1787020212.268,1787020212.296,27.6
10,ShortRelease,1787020212.428,1787020212.454,26.4
11,InitialPress,1787020217.908,1787020217.940,31.9
12,ShortRelease,1787020218.088,1787020218.122,34.1
13,InitialPress,1787020223.868,1787020223.916,48.0
14,ShortRelease,1787020224.048,1787020224.081,33.3
15,InitialPress,1787020229.829,1787020229.855,26.4
16,ShortRelease,1787020230.029,1787020230.062,32.7
17,InitialPress,1787020235.829,1787020235.861,32.5
18,ShortRelease,1787020236.049,1787020236.078,28.6
19,InitialPress,1787020241.129,1787020241.156,27.3
20,ShortRelease,1787020241.309,1787020241.337,28.2
21,InitialPress,1787020246.929,1787020246.963,34.1
22,ShortRelease,1787020247.109,1787020247.137,28.3
23,InitialPress,1787020253.629,1787020253.658,29.2
24,ShortRelease,1787020253.929,1787020253.958,29.4
25,InitialPress,1787020257.909,1787020257.956,46.5
26,ShortRelease,1787020258.129,1787020258.166,36.6
27,InitialPress,1787020263.030,1787020263.058,28.1
28,ShortRelease,1787020263.190,1787020263.219,28.7
29,InitialPress,1787020268.610,1787020268.641,30.5
30,ShortRelease,1787020268.790,1787020268.831,41.2
# lech dong ho Pi-PC da tru: -836.1 ms, tan mat +/-5.5 ms
